date,costA,QA,costC,costB,cons_err
2025-10-08,48548.14004956578,4966.7994229938195,64246.7675036475,59899.398937465005,0.02913164214028039
2025-10-09,50540.360050508316,3569.457270833331,66757.34665582582,60796.00870269,0.24674609041169318
2025-10-10,33925.87056884,0.0,41997.956766924995,58864.50389180001,10.277280801807322
2025-10-11,32197.88869508,0.0,41934.892162452496,61161.11105183,5.841784311072764
2025-10-12,60873.00658272129,9014.611732413578,65926.27629685083,57648.621380255005,0.029301606872034397
2025-10-13,54370.785886266814,5711.956692333328,66499.96285716999,58463.102608265006,0.08295223940288497
2025-10-14,60122.86828756673,6711.720746248976,69122.03231956833,62807.072253709994,0.08130675743517157
2025-10-15,60703.35165994191,6527.47737839506,69400.93140073499,63935.485547774995,0.13246358702177705
2025-10-16,66082.37097480774,8836.69789157407,70712.20946299416,64239.732689845,0.04155810507525153
2025-10-17,30084.29541231,0.0,40672.25029685334,62842.369583294996,4.3899367179101585
2025-10-18,33030.64667866,0.0,42261.970132555,61602.181610995,5.026549806199629
2025-10-19,71859.1137631113,10895.067047427987,71533.63608694165,61671.669227665,0.036328301721852085
2025-10-20,69111.96235060791,8104.479559154321,72687.67954566082,65786.238210465,0.16187398471070877
2025-10-21,74655.57582284493,11256.151030893003,72419.42070603583,67771.43602414,0.14880512992290457
2025-10-22,77103.0118929283,11948.18717119341,72694.19378709333,66306.87619873,0.1195571226316693
2025-10-23,64878.96267556498,5688.018299999996,73384.20414065332,69175.63484708499,0.33585205539819785
2025-10-24,33451.765513909995,0.0,43702.82208367334,66676.029043025,4.228993380908931
2025-10-25,34313.14660958,0.0,43670.99640070166,64967.50942991,4.211387619338805
2025-10-26,70564.27281307432,9407.937547325106,71502.45293457582,64447.802640335,0.12594253495052232
2025-10-27,70242.11452177982,10322.207805524691,71531.32929948083,67782.85434222,0.07652817247743343
2025-10-28,79238.34608825849,13564.809916419748,72082.10774155249,69919.34708631999,0.11128813208073247
2025-10-29,78036.82736542146,10416.452169135799,76011.47143846333,72102.80479774499,0.14742899529846207
2025-10-30,76624.12766289344,12657.286918724276,71769.03216160083,67750.18048010499,0.10455925558347845
2025-10-31,38082.96337859,0.0,46028.41839750833,69785.0131781,3.4722874091915576
2025-11-01,33472.21756177,0.0,43720.25440897666,65953.33599226,3.111664080418441
2025-11-02,86432.63639238203,14523.94623353909,75719.46075433999,68397.866284195,0.09870178576739998
2025-11-03,72524.44170679292,8395.093806456796,75162.21600958914,70797.02269213,0.13871671608613265
2025-11-04,79705.4053102177,11979.265412345681,74503.12247679083,70498.709712825,0.13564474612992108
2025-11-05,74412.83833150665,8066.510049999997,77352.63910266667,70526.96029975,0.19349329332259418
2025-11-06,85814.45072310216,12723.731410082302,77513.10110631917,91433.51681328501,0.12846030687046067
2025-11-07,36048.745326849996,0.0,46260.9675914275,73509.95521762,3.3580120648448815
2025-11-08,36166.4214753,0.0,45537.04946742416,68379.52741275,3.3457090631650632
2025-11-09,87751.44335874532,13543.13914933333,78250.68018478916,70679.99825014,0.11866677686398573
2025-11-10,88367.90769942524,12833.30409238683,79925.64964519249,75435.84319370499,0.1431096610708177
2025-11-11,76417.00647848332,8311.7159,78734.60504719499,72842.332124445,0.15764869698858403
2025-11-12,83292.76216680763,11423.49625349794,78647.88771075083,74301.931681235,0.15716298360607578
2025-11-13,88704.184321325,14090.407317666666,77754.91883117666,74347.75953678,0.12835450160273543
2025-11-14,38200.90729002,0.0,47003.25247012249,72257.53615299001,2.777659108718932
2025-11-15,39734.384209209995,0.0,48046.58686079,71536.28484911499,2.914226633219471
2025-11-16,98892.76153897768,16392.005424,81099.79029245916,74043.776196335,0.11605193549168523
2025-11-17,91315.58367817655,15067.910378833329,78540.91500648999,88867.298357875,0.1264725670919475
2025-11-18,89056.754819908,13639.447058415637,80207.3088918025,73544.9392837,0.13468486835370821
2025-11-19,93890.4327257684,14346.06881783333,82038.73669491499,85098.416852455,0.12232685320174266
2025-11-20,92427.33527029715,14089.426902117284,80872.48623988917,91949.56876786001,0.1237676117008723
2025-11-21,38503.85838107,0.0,47576.807904057496,77525.95941380001,2.6088811698192984
2025-11-22,40500.79514368,0.0,48525.6835721775,74156.18651686,2.6690167050511793
2025-11-23,100938.12573772698,16738.158518106997,82294.47809275833,124898.492240395,0.11356031079643233
2025-11-24,90834.70517251999,14094.843649999999,80280.451720655,77805.68652630999,0.13376115919698012
2025-11-25,80635.76471621999,8063.1389833333305,83060.82701960416,103474.064363575,0.21319853969876723
2025-11-26,87001.58175350659,10718.204766615225,83506.44767145082,103728.77507080499,0.13685210447308246
2025-11-27,89461.77721413213,12330.824609499996,82083.12306549416,96766.10661482,0.13552933353032195
2025-11-28,40752.980130079995,0.0,49133.553717279996,77713.428040745,2.5363494160127393
2025-11-29,44999.81729393,0.0,50202.148795714995,77749.90280735001,2.4488429333860156
